DATASET_NAME,DATA_FIELD_NAME,DATA_SOURCE_OWNER
Amalgamation Information of firms,CompanyTransactionNumber,ACRA
Amalgamation Information of firms,AmalgamatingCompanyUEN,ACRA
Amalgamation Information of firms,AmalgamatingCompanyName,ACRA
Amalgamation Information of firms,AmalgamatedCompanyUEN,ACRA
Amalgamation Information of firms,AmalgamatedCompanyName,ACRA
Amalgamation Information of firms,AmalgamationIntendedDate,ACRA
Company Capital Information,UEN,ACRA
Company Capital Information,CapitalCurrencyCode,ACRA
Company Capital Information,CapitalShareTypeCode,ACRA
Company Capital Information,CapitalConversionRate,ACRA
Company Capital Information,CapitalShareAllotedAmount,ACRA
Company Capital Information,IssuedCapitalAmount,ACRA
Company Capital Information,PaidupCapitalAmount,ACRA
Financial information of non-gazetted companies,UEN,ACRA
Financial information of non-gazetted companies,EFHFinancialPeriodEndDate,ACRA
Financial information of non-gazetted companies,CurrentPeriodStartDate,ACRA
Financial information of non-gazetted companies,EFHRevenue,ACRA
Financial information of non-gazetted companies,CompanyFinanceCost,ACRA
Financial information of non-gazetted companies,CompanyNetIncomeFromExtraordinaryItem,ACRA
Financial information of non-gazetted companies,CompanyProfitLossBeforeTax,ACRA
Financial information of non-gazetted companies,CompanyProfitLossAfterTax,ACRA
Financial information of non-gazetted companies,CompanyProfitLossFromDiscontinuedOperation,ACRA
Financial information of non-gazetted companies,CompanyTotalAsset,ACRA
Financial information of non-gazetted companies,CompanyTotalCurrentAssetBalanceSheetOnly,ACRA
Financial information of non-gazetted companies,CompanyTotalNonCurrentAssetBalanceSheetOnly,ACRA
Financial information of non-gazetted companies,CompanyTotalLiability,ACRA
Financial information of non-gazetted companies,CompanyTotalCurrentLiabilityBalanceSheetOnly,ACRA
Financial information of non-gazetted companies,CompanyTotalNonCurrentLiabilityBalanceSheetOnly,ACRA
Financial information of non-gazetted companies,CompanyTotalEquity,ACRA
Financial information of non-gazetted companies,CompanyShareCapital,ACRA
Financial information of non-gazetted companies,CompanyOtherReserves,ACRA
Financial information of non-gazetted companies,CompanyAccumulatedProfitLoss,ACRA
Financial information of non-gazetted companies,RecordInconsistencyDenotingIndicator,ACRA
Financial information of non-gazetted companies,HighlightCurrencyCode,ACRA
Financial information of non-gazetted companies,GroupRevenue,ACRA
Financial information of non-gazetted companies,GroupFinanceCost,ACRA
Financial information of non-gazetted companies,GroupNetIncomeLossFromExtraordinaryItem,ACRA
Financial information of non-gazetted companies,GroupProfitLossBeforeTax,ACRA
Financial information of non-gazetted companies,GroupProfitLossAfterTax,ACRA
Financial information of non-gazetted companies,GroupProfitLossFromDiscontinuedOperation,ACRA
Financial information of non-gazetted companies,GroupTotalAsset,ACRA
Financial information of non-gazetted companies,GroupTotalCurrentAssetBalanceSheet,ACRA
Financial information of non-gazetted companies,GroupTotalNonCurrentAssetBalanceSheet,ACRA
Financial information of non-gazetted companies,GroupTotalLiability,ACRA
Financial information of non-gazetted companies,GroupTotalCurrentLiabilityBalanceSheet,ACRA
Financial information of non-gazetted companies,GroupTotalNonCurrentLiabilityBalanceSheet,ACRA
Financial information of non-gazetted companies,GroupTotalEquityAttributableOwners,ACRA
Financial information of non-gazetted companies,GroupShareCapitalPaidupCapital,ACRA
Financial information of non-gazetted companies,GroupOtherReserves,ACRA
Financial information of non-gazetted companies,GroupAccumulatedProfitLoss,ACRA
Financial information of non-gazetted companies,GroupNonControllingInterest,ACRA
Financial information of non-gazetted companies,GroupIndicator,ACRA
Financial information of non-gazetted companies,RoundingLevelForFinancialStatement,ACRA
Financial information of non-gazetted companies,HasFiftyPlusEmployeeIndicator,ACRA
Financial information of non-gazetted companies,CashFlowFromOperatingActivities,ACRA
Financial information of non-gazetted companies,CashFlowFromInvestingActivities,ACRA
Financial information of non-gazetted companies,CashFlowFromFinancingActivities,ACRA
Financial information of non-gazetted companies,GroupCashFlowFromOperatingActivities,ACRA
Financial information of non-gazetted companies,GroupCashFlowFromInvestingActivities,ACRA
Financial information of non-gazetted companies,GroupCashFlowFromFinancingActivities,ACRA
Basic firm information for de-registered firms,UEN,ACRA
Basic firm information for de-registered firms,PrimaryActivityCode,ACRA
Basic firm information for de-registered firms,SecondaryActivityCode,ACRA
Basic firm information for de-registered firms,ChangeOfActivityDate,ACRA
Basic firm information for de-registered firms,RegistrationDate,ACRA
Basic firm information for de-registered firms,DeregistrationDate,ACRA
Basic firm information for de-registered firms,EntityStatusEffectiveDate,ACRA
Basic firm information for de-registered firms,EntityStatusCode,ACRA
Basic firm information for de-registered firms,AddressOne,ACRA
Basic firm information for de-registered firms,AddressOneBlockHouseNumber,ACRA
Basic firm information for de-registered firms,AddressOneLevelNumber,ACRA
Basic firm information for de-registered firms,AddressOneUnitNumber,ACRA
Basic firm information for de-registered firms,AddressOnePostalCode,ACRA
Basic firm information for de-registered firms,AddressOneStreetName,ACRA
Basic firm information for de-registered firms,AddressOneBuildingName,ACRA
Basic firm information for de-registered firms,AddressTwo,ACRA
Basic firm information for de-registered firms,AddressTwoBlockHouseNumber,ACRA
Basic firm information for de-registered firms,AddressTwoLevelNumber,ACRA
Basic firm information for de-registered firms,AddressTwoUnitNumber,ACRA
Basic firm information for de-registered firms,AddressTwoPostalCode,ACRA
Basic firm information for de-registered firms,AddressTwoStreetName,ACRA
Basic firm information for de-registered firms,AddressTwoBuildingName,ACRA
Basic firm information for de-registered firms,AddressThree,ACRA
Basic firm information for de-registered firms,AddressThreeBlockHouseNumber,ACRA
Basic firm information for de-registered firms,AddressThreeLevelNumber,ACRA
Basic firm information for de-registered firms,AddressThreeUnitNumber,ACRA
Basic firm information for de-registered firms,AddressThreePostalCode,ACRA
Basic firm information for de-registered firms,AddressThreeStreetName,ACRA
Basic firm information for de-registered firms,AddressThreeBuildingName,ACRA
Basic firm information for de-registered firms,CountryOfIncorporationCode,ACRA
Basic firm information for de-registered firms,BusinessConstitutionCode,ACRA
Basic firm information for de-registered firms,RenewedDate,ACRA
Basic firm information for de-registered firms,EntityBusinessCommencementDate,ACRA
Basic firm information for de-registered firms,CompanyTypeCode,ACRA
Basic firm information for de-registered firms,GazetteDetailsEffectiveDate_SectionTwelve,ACRA
Basic firm information for de-registered firms,GazetteDetailsEffectiveDate_SectionFour,ACRA
Basic firm information for de-registered firms,GazetteDetailsDegazetteEffectiveDate_SectionTwelve,ACRA
